2000;;1000;;Girokonto;;1004,1
2002;;1001;;Girokonto;;599,0
2004;;1002;;Girokonto;;1,0
2005;;1002;;Sparkonto;;509,96
2006;;1003;;Girokonto;;4,21
2007;;1003;;Sparkonto;;19,9
2008;;1004;;Girokonto;;143,87
2009;;1004;;Sparkonto;;5000,0
2010;;1005;;Girokonto;;1999,95
2011;;1005;;Sparkonto;;5,0
2012;;1006;;Girokonto;;15,22
2013;;1006;;Sparkonto;;9,24
2014;;1007;;Girokonto;;99,99
2015;;1007;;Sparkonto;;1911,91
2016;;1008;;Girokonto;;1111,11
2017;;1008;;Sparkonto;;5555,55
2018;;1009;;Girokonto;;23,19
2019;;1009;;Sparkonto;;4912,42
2020;;1000;;Sparkonto;;3312,0
2021;;1000;;Sparkonto;;34,14
